FULL NAME,MPG,USG%,FT%,3P%,eFG%,PPG,RPG,APG,SPG,BPG,TO,VI,ORTG,DRTG
Russell Westbrook,36,30.9,0.658,0.29,0.468,22.9,11.1,10.7,1.95,0.45,4.44,15.5,105.2,97.2
Giannis Antetokounmpo,32.8,32.3,0.729,0.256,0.599,27.7,12.5,5.9,1.26,1.53,3.71,15.5,121.6,93.9
Nikola Jokic,31.3,27.4,0.821,0.307,0.545,20.1,10.8,7.3,1.35,0.69,3.1,14.9,119.2,99
LeBron James,35.2,31.6,0.665,0.339,0.56,27.4,8.4,8.3,1.31,0.6,3.58,14.1,114.4,106.2
James Harden,36.8,40.5,0.879,0.368,0.541,36.1,6.6,7.5,2.05,0.73,4.96,13.2,118.6,103.5
Joel Embiid,33.7,33.3,0.804,0.3,0.517,27.5,13.6,3.7,0.72,1.91,3.55,13.2,113.7,98.7
Anthony Davis,33,29.5,0.794,0.331,0.54,25.9,12,3.9,1.57,2.41,2.02,12.9,122.1,104.5
Troy Caupain,3.9,22.3,0,0.667,0.625,2.5,0.8,1,0.25,0,0,12.9,,
Nikola Vucevic,31.4,28,0.789,0.364,0.549,20.8,12,3.8,1.01,1.14,1.99,12.5,115.4,101
Luka Doncic,32.2,30.5,0.713,0.326,0.497,21.2,7.8,6,1.08,0.35,3.42,12.4,106.9,105.1
Ben Simmons,34.2,22.1,0.6,0,0.563,16.9,8.8,7.7,1.42,0.77,3.47,12.2,113.8,103.1
DeMarcus Cousins,25.7,28.1,0.736,0.274,0.515,16.3,8.2,3.6,1.33,1.47,2.4,12.2,108.9,93.9
Karl-Anthony Towns,33,29,0.836,0.4,0.572,24.4,12.4,3.4,0.88,1.62,3.13,12.2,118.5,100.6
Emanuel Terry,3.3,24.4,0.5,0,0,1,1,1,0,0,0,12.1,,
Jusuf Nurkic,27.4,24.7,0.773,0.103,0.51,15.6,10.4,3.2,0.97,1.43,2.33,11.7,116.5,96.7
Domantas Sabonis,24.8,23.5,0.715,0.529,0.595,14.1,9.4,2.9,0.68,0.41,2.16,11.7,118.5,92.8
Greg Monroe,17.5,23,0.909,1,0.674,13.7,4.3,2.3,0.33,0,0.33,11.7,154.5,103.3
Kevin Durant,34.6,29,0.885,0.353,0.571,26,6.4,5.9,0.76,1.08,2.87,11.5,120.9,107.9
Kyrie Irving,33,29.6,0.873,0.401,0.557,23.8,5,6.9,1.55,0.51,2.57,11.4,117.9,104
Blake Griffin,35,30.2,0.753,0.362,0.532,24.5,7.5,5.4,0.69,0.37,3.37,11.4,112.9,104
Boban Marjanovic,13.9,21.7,0.722,0.5,0.642,8.2,5.1,1.5,0.23,0.45,1,11.4,125,99.7
Gary Payton II,5.3,24,0,0.5,0.688,3.7,0.7,1.3,1,0.33,0.33,11.3,135.4,97.7
Jonas Valanciunas,27.7,31.4,0.769,0.278,0.554,19.9,10.7,2.2,0.32,1.58,2.68,11.2,109.4,96.5
D'Angelo Russell,30.2,31.9,0.78,0.369,0.512,21.1,3.9,7,1.22,0.25,3.12,11,106.8,107
DeAndre Jordan,26,16.8,0.773,0,0.634,10.9,11.3,3,0.47,1.05,2.21,11,125.3,103.8
Pau Gasol,12.2,15.8,0.711,0.5,0.494,4.2,4.7,1.9,0.19,0.52,0.52,11,120.4,101.1
Julius Randle,30.6,27.8,0.731,0.344,0.556,21.4,8.7,3.1,0.71,0.62,2.85,10.9,113.5,103.5
Kevin Love,27.2,27.4,0.904,0.361,0.479,17,10.9,2.2,0.27,0.27,1.91,10.9,112.4,105.9
J.J. Barea,19.8,28.1,0.705,0.297,0.468,10.9,2.5,5.6,0.58,0,1.89,10.8,105.1,107.2
Stephen Curry,33.8,30.4,0.916,0.437,0.604,27.3,5.3,5.2,1.33,0.38,2.78,10.8,119.9,106.3
Kyle O'Quinn,8.2,20.8,0.81,0.083,0.511,3.5,2.6,1.2,0.2,0.56,0.69,10.8,106.5,87.9
Trae Young,30.9,28.4,0.829,0.324,0.48,19.1,3.7,8.1,0.86,0.19,3.8,10.7,107.5,114.2
Joakim Noah,16.5,20.1,0.716,0,0.516,7.1,5.7,2.1,0.48,0.74,1.19,10.7,113.8,94.2
DeMar DeRozan,34.9,27.9,0.831,0.156,0.483,21.2,6,6.2,1.12,0.47,2.57,10.6,110,106.4
Paul George,36.9,29.5,0.84,0.386,0.529,28,8.1,4.1,2.21,0.44,2.66,10.6,116.5,100.8
Chris Paul,32,22.5,0.862,0.358,0.508,15.6,4.6,8.2,1.97,0.31,2.6,10.5,118.5,104.9
Damian Lillard,35.5,29.3,0.912,0.369,0.522,25.8,4.6,6.9,1.11,0.41,2.65,10.5,121.5,109.1
