Player,PER▼,TS%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Giannis Antetokounmpo,30.9,0.644,32.3,8.9,5.5,14.4,6.3,4.1,10.4,7.4
James Harden,30.6,0.616,40.5,11.4,3.8,15.2,9.4,1.6,11,9.3
Anthony Davis,30.3,0.597,29.5,6.4,3.1,9.5,7.1,2.3,9.4,5.3
Nikola Jokić,26.3,0.589,27.4,7.5,4.3,11.8,6.2,2.9,9.1,7
Karl-Anthony Towns,26.3,0.622,28.9,7.2,3.2,10.4,5.4,0.6,6,5.1
Joel Embiid,26.1,0.593,33.3,4.9,3.8,8.7,4,0.9,4.9,3.8
Kawhi Leonard,25.8,0.606,30.3,6.1,3.4,9.5,6.1,1.1,7.2,4.7
LeBron James,25.6,0.588,31.6,4.7,2.6,7.2,6.4,1.7,8,4.9
Nikola Vučević,25.5,0.573,28,5.4,4.7,10.1,5,1.7,6.6,5.5
Rudy Gobert,24.6,0.682,17.8,8.7,5.7,14.4,3,2.5,5.4,4.8
Stephen Curry,24.4,0.641,30.4,7.2,2.5,9.7,7.1,-0.5,6.6,5.1
Jonas Valančiūnas,24.4,0.616,28.5,2.2,1.9,4.2,2.2,0.4,2.7,1.3
Kyrie Irving,24.3,0.592,29.6,6.2,2.9,9.1,6,1.1,7.2,5.1
Kevin Durant,24.2,0.631,29,8.6,2.9,11.5,5.4,0.1,5.5,5.1
Boban Marjanović,24.2,0.664,23.3,2.1,0.9,3,2.8,0.3,3.2,0.9
Clint Capela,23.8,0.658,18.2,7.8,3,10.8,3.3,-0.3,3,2.8
Damian Lillard,23.7,0.588,29.3,9.7,2.4,12.1,6.6,-0.3,6.4,6
Hassan Whiteside,23.5,0.564,22.6,2.3,4,6.3,1.1,1.2,2.3,1.8
Andre Drummond,23.4,0.555,22.9,4.1,5.9,10,1.3,0.8,2.1,2.7
Montrezl Harrell,23.4,0.636,23.5,6.1,2.6,8.7,2.6,0.7,3.3,2.9
Jusuf Nurkić,23.4,0.57,24.7,4.4,3.3,7.8,2.1,1.7,3.7,2.8
Paul George,23.3,0.583,29.5,7,4.9,11.9,5.6,1.6,7.2,6.6
LaMarcus Aldridge,22.9,0.576,26.9,6.4,2.9,9.3,2.4,-0.6,1.8,2.6
Domantas Sabonis,21.9,0.63,23.5,4.3,3.3,7.6,1.9,1.3,3.1,2.4
Christian Wood,21.9,0.607,26.1,0.4,0.3,0.8,1.4,-1,0.4,0.1
John Collins,21.8,0.627,23.7,5,1,6,2.8,-1.9,0.9,1.3
Kemba Walker,21.7,0.558,31.5,5.5,1.9,7.4,5.2,-1,4.2,4.4
Mike Conley,21.4,0.569,27.3,5.7,2.3,8,4.6,0.1,4.7,3.9
DeMarcus Cousins,21.4,0.562,28.1,0.9,1.5,2.4,0.4,2.6,3,1
Lou Williams,21.2,0.554,32.4,3.9,1.2,5.1,4.3,-2.1,2.2,2.1
Russell Westbrook,21.1,0.501,30.9,1.8,5,6.8,2.8,2.4,5.2,4.7
Danilo Gallinari,21,0.633,23.8,6.4,1.8,8.2,4.9,-0.5,4.3,3.3
Blake Griffin,21,0.581,30.2,5.1,2.9,8,4.9,0.2,5.1,4.7
Thomas Bryant,21,0.674,17.6,4.3,1.3,5.6,2.3,-0.3,2,1.5
Demetrius Jackson,21,0.656,19.1,0.2,0,0.2,3.6,0.9,4.5,0.1
Julius Randle,20.9,0.6,27.8,4.2,1.9,6.1,2.1,-0.6,1.5,2
Ekpe Udoh,20.9,0.698,13.1,0.9,0.7,1.6,0.8,3.9,4.7,0.5
Bradley Beal,20.8,0.581,28.4,5.9,1.7,7.6,3.8,-0.8,2.9,3.7
Richaun Holmes,20.7,0.647,17.9,3.1,1.1,4.3,0.1,0.5,0.6,0.8
Devin Robinson,20.6,0.616,17.9,0.2,0.1,0.3,0.8,1.1,1.9,0.1
Deandre Ayton,20.5,0.608,21.2,4.1,1.7,5.8,1.3,-1.1,0.2,1.2
Dwight Powell,20.4,0.682,17.2,5.6,1.9,7.5,2,0.9,2.9,2.1
Willy Hernangómez,20.4,0.587,22.1,1.8,0.8,2.6,1.1,-1.1,-0.1,0.4
Devin Booker,20.2,0.584,32.9,3.3,0.3,3.5,3.3,-2.3,1,1.7
Jimmy Butler,20.2,0.571,22.3,5.4,2.5,7.9,2.8,0.9,3.7,3.2
Al Horford,20.2,0.605,18.9,4.5,2.9,7.5,3.3,1.9,5.1,3.6
