FULL NAME,GP,MPG,USG%,FT%,3P%,eFG%,PPG,RPG,APG,SPG,BPG,TO,VI,ORTG,DRTG
Pat Connaughton,23,23.7,10.7,0.846,0.389,0.618,6.9,4.4,0.9,0.43,0.26,0.52,5.1,129,107.6
Bryn Forbes,20,13.7,19.2,0.75,0.371,0.558,6.6,1.4,0.3,0.1,0.1,0.35,4.1,110.1,110.5
Jrue Holiday,23,39.6,22.1,0.714,0.303,0.461,17.3,5.7,8.7,1.65,0.43,2.43,9.6,108.9,108.4
Brook Lopez,23,29,16.8,0.86,0.319,0.601,13,5.9,0.3,0.74,1.48,1.09,3.9,122.1,106.8
Khris Middleton,23,40.1,26.4,0.887,0.343,0.504,23.6,7.6,5.1,1.52,0.17,3.22,9.7,107.8,106.3
P.J. Tucker,23,29.6,6.9,0.75,0.322,0.485,4.3,4.8,1.1,0.96,0.13,0.43,3.8,119.6,103
Nicolas Batum,19,29.2,10.5,0.826,0.389,0.615,8.1,5.5,2.1,1.26,0.53,0.32,6.2,140.3,109
Paul George,19,40.9,30.5,0.844,0.336,0.509,26.9,9.6,5.4,1,0.47,3.53,10.9,112.6,105.4
Reggie Jackson,19,32.7,22.3,0.878,0.408,0.599,17.8,3.2,3.4,0.95,0.16,1.47,7.1,122.3,108.2
Terance Mann,19,19.9,14.8,0.714,0.432,0.596,7.6,2.7,0.7,0.53,0.26,0.21,4.9,131.5,104.8
Marcus Morris Sr.,19,31.8,17,0.75,0.375,0.52,12.2,4.3,1.5,0.53,0.53,0.37,5.4,115.7,108
Deandre Ayton,22,36.4,16.3,0.736,0,0.658,15.8,11.8,1.1,0.82,1.09,1.27,6.5,131,103.7
Devin Booker,22,40.4,31.8,0.905,0.321,0.494,27.3,5.6,4.5,0.82,0.18,3.64,8.7,105.3,106.5
Mikal Bridges,22,32.1,14.2,0.893,0.368,0.576,11.1,4.3,1.6,1,0.68,0.77,5.3,120.2,109.4
Torrey Craig,22,12.1,15.6,0.615,0.405,0.527,4,2.9,0.4,0.05,0.36,0.45,5.5,109.5,101.8
Jae Crowder,22,33.2,13.7,0.886,0.38,0.56,10.8,6.1,1.9,0.86,0.82,0.86,6,117,104
Cameron Payne,22,19,24.6,0.889,0.362,0.49,9.3,2.5,3.2,0.77,0.5,1.09,8.9,105.7,104.4
Bogdan Bogdanovic,18,33.2,21,0.706,0.329,0.484,14.1,4.2,2.9,1.61,0.28,1.5,6.7,100.7,106.6
Clint Capela,18,31.6,13.3,0.436,0,0.603,10.1,11.2,0.9,0.67,1.06,1,5.9,122.4,104.7
John Collins,18,32,17,0.833,0.357,0.604,13.9,8.7,0.9,0.44,0.61,1.28,6,121.3,103.8
Danilo Gallinari,18,24.6,21.2,0.942,0.405,0.523,12.8,3.9,0.8,0.33,0.17,0.83,5.6,116.4,105.6
Kevin Huerter,18,31,16.4,0.706,0.347,0.519,11.1,3.8,2.8,0.78,0.89,1.06,6.3,110.1,107.7
Onyeka Okongwu,18,9.2,11.8,0.667,0,0.548,2.7,2.7,0.1,0.28,0.72,0.22,3.9,131.1,96.7
Lou Williams,18,15.4,23,0.963,0.433,0.514,7.7,1.4,2.2,0.67,0.06,1.22,7.5,109.5,110.4
Cameron Johnson,21,21.1,14.3,0.906,0.446,0.65,8.2,3.1,0.8,0.9,0.19,0.71,5.2,129.5,107.8
Giannis Antetokounmpo,21,38.1,31.8,0.587,0.186,0.584,30.2,12.8,5.1,1,1.19,3.05,13.2,117.9,103.1
Ivica Zubac,17,17.7,14.6,0.796,0,0.596,6.3,5.8,0.4,0.12,0.71,0.94,5.5,135.4,103.4
Patrick Beverley,17,19,11.3,0.857,0.351,0.522,4.9,2.4,1.4,0.71,0.71,0.24,5.4,127.5,104
Chris Paul,20,34.2,24.8,0.877,0.446,0.545,19.2,3.5,8.6,1.15,0.15,2.15,9.7,121.8,108.3
Bobby Portis,20,18.3,20,0.72,0.346,0.523,8.8,5,0.6,0.7,0.35,0.45,6.5,116.5,103.4
Trae Young,16,37.7,35.4,0.866,0.313,0.481,28.8,2.8,9.5,1.25,0,4,9.7,112.7,111.6
Luke Kennard,15,14.6,14.6,0.5,0.412,0.638,5.6,0.9,0.5,0.13,0,0.2,3.7,126.7,112
Solomon Hill,14,10.4,8.2,0.5,0.167,0.313,1.2,1.4,0.2,0.14,0.07,0.07,2.7,81.7,104.3
Dario Saric,14,10.5,17.8,0.929,0.444,0.556,4.5,2.5,1,0.14,0.07,0.43,8.5,126.5,98.8
Rajon Rondo,13,16.9,15.3,0.667,0.393,0.443,4.2,2.6,3.8,0.38,0.23,1.08,8.2,109.6,106.9
Thanasis Antetokounmpo,13,3.5,12.1,0.833,0,0.286,0.7,0.8,0.2,0.38,0.15,0.23,5.5,,
Jeff Teague,16,7.5,15,0.818,0.455,0.371,2,0.5,0.8,0.19,0,0.38,5,97.7,108.6
Bruce Brown,12,23.1,15.9,0.813,0.182,0.519,7.9,5.1,2.1,0.67,0.42,0.92,7.6,120,104.6
Nicolas Claxton,12,10.8,12,0.667,0,0.483,2.5,2.8,0.6,0.33,1.08,0.33,6,116.6,99.2
Seth Curry,12,31.8,18.7,0.789,0.506,0.718,18.8,2.3,2.3,0.75,0.25,0.83,5.8,138.6,105.4
Kevin Durant,12,40.4,34.5,0.871,0.402,0.573,34.3,9.3,4.4,1.5,1.58,3.5,11.1,116.6,106.9
Blake Griffin,12,26.5,12.9,0.714,0.389,0.62,9,5.8,1.8,0.83,0.5,0.42,6.9,134.2,101.8
Joe Harris,12,36.2,14,0.75,0.402,0.533,11.2,3.6,1.6,0.33,0.17,0.75,4.4,107.5,110.9
Tobias Harris,12,36.5,24.6,0.875,0.372,0.526,21.8,8.5,3.5,1,0.42,1.5,9.5,114,103.4
George Hill,12,17.1,12.3,0.769,0.421,0.535,4.7,1.3,1.5,0.67,0.25,0.83,4.9,111.3,104.6
Dwight Howard,12,12.4,17.2,0.6,0,0.533,4.7,6.3,0.7,0.17,0.5,1,8.9,118.5,85.9
Furkan Korkmaz,12,16.2,18.6,0.714,0.318,0.507,7,2,0.6,0.58,0.25,0.42,5,107.6,107.8
Tyrese Maxey,12,13,22.2,0.636,0.333,0.47,6.3,1.8,1.3,0.25,0.5,0.42,7.5,106.3,102
Shake Milton,12,10.1,23,0.933,0.421,0.404,4.3,0.8,0.8,0.25,0.08,0.92,5.5,90.1,98.4
Landry Shamet,12,17.2,10.8,0.8,0.37,0.561,4.2,1.8,0.6,0.42,0.08,0.5,3.8,108.9,108.5
Ben Simmons,12,33.5,16.5,0.342,0,0.621,11.9,7.9,8.8,1.25,0.83,2.25,11.2,121.5,100.4
Matisse Thybulle,12,18.3,11,0.4,0.324,0.587,5.3,1.4,0.3,1.33,0.92,0.17,2.9,117.1,97.5
Bojan Bogdanovic,11,35.5,20.2,0.878,0.461,0.599,18.1,4.3,1.5,0.91,0,2.18,5.5,117.2,106.9
Jordan Clarkson,11,27.1,29.7,0.962,0.351,0.509,17.5,3.1,1.5,0.64,0.27,2.09,6.4,103.9,109.4
Derrick Favors,11,13.1,10.1,0.556,0,0.696,3.4,4.2,0.3,0.18,0.91,0.55,5,133.9,94.2
Rudy Gobert,11,34.2,15,0.636,0,0.741,14.7,12.3,0.8,0.55,2.09,1.55,6.1,140.2,98
Joe Ingles,11,27.8,13.6,0.769,0.414,0.646,10.2,3.1,3.5,0.64,0,0.82,6.9,135.9,107.8
Kawhi Leonard,11,39.2,29.1,0.88,0.393,0.629,30.4,7.7,4.4,2.09,0.82,2.18,10.3,133.1,106.2
Georges Niang,11,11.7,16.8,1,0.3,0.397,3.2,1.7,0.7,0,0.09,0.73,5.3,86.4,99.4
Royce O'Neale,11,36.7,10.8,0.833,0.467,0.671,11.3,7.3,2.1,1.09,0.27,0.73,6.1,140.5,101.8
Joel Embiid,11,32.4,34.6,0.835,0.39,0.553,28.1,10.5,3.4,1,1.45,3.82,12.4,115.7,98.4
Elijah Bryant,11,4.5,19,0,0,0.35,1.3,1.1,0.4,0.18,0.09,0.18,7.4,81.6,109.8
Facundo Campazzo,10,27,15.7,0.842,0.396,0.52,9.3,3,4.1,1.4,0.4,1.5,7.2,117.1,102.7
Aaron Gordon,10,29.9,18.1,0.64,0.391,0.48,11.1,5.4,2,0.5,0.3,1.4,6.6,106.6,110.6
JaMychal Green,10,19,11.9,0.889,0.3,0.511,5.4,5.2,1.1,0.2,0.2,0.3,6.6,128.9,110.6
Nikola Jokic,10,34.5,34.8,0.836,0.377,0.553,29.8,11.6,5,0.6,0.9,2.4,13.9,121.3,108.5
