Player,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
,,,,,,,,,,,
Precious Achiuwa,14.2,0.55,19.5,0.3,1,1.3,0.085,-3.6,-0.5,-4.1,-0.4
Jaylen Adams,-6.5,0.125,18.6,-0.1,0,-0.1,-0.252,-15.1,-4.6,-19.8,-0.1
Steven Adams,15.1,0.596,11.7,2.3,1.7,4,0.119,-0.4,0.1,-0.3,0.7
Bam Adebayo,22.7,0.626,23.7,5.6,3.2,8.8,0.197,2.9,2,4.9,3.7
LaMarcus Aldridge,15.7,0.556,22.2,0.5,0.6,1.1,0.08,-0.2,-0.2,-0.3,0.3
Ty-Shon Alexander,4.2,0.349,15,-0.1,0,0,-0.048,-4.8,-1.7,-6.5,-0.1
Nickeil Alexander-Walker,12.5,0.522,23.2,-0.3,1,0.7,0.035,-1.4,0.1,-1.3,0.2
Grayson Allen,12.8,0.586,16.8,1.5,1.2,2.7,0.101,-0.2,0.1,-0.2,0.6
Jarrett Allen,20.1,0.661,16.6,4.3,2.1,6.4,0.166,1.3,-0.2,1.1,1.4
Al-Farouq Aminu,8.9,0.469,13.6,-0.4,0.5,0.1,0.01,-4.9,1.1,-3.8,-0.2
Kyle Anderson,17.2,0.578,18.5,2.9,2.7,5.6,0.143,1.4,1.9,3.3,2.5
Giannis Antetokounmpo,29.2,0.633,32.5,6.9,3.3,10.2,0.244,6.2,2.8,9,5.6
Kostas Antetokounmpo,0,0.382,20.7,-0.3,0.1,-0.2,-0.174,-13.3,0.8,-12.6,-0.1
Thanasis Antetokounmpo,10.3,0.523,15.3,0,0.6,0.7,0.057,-3.7,0.2,-3.5,-0.2
Carmelo Anthony,14.6,0.547,23.1,1.7,0.8,2.6,0.073,0.2,-1.3,-1.1,0.4
Cole Anthony,12.1,0.496,24.3,-0.9,0.9,0,-0.001,-1.9,-1.4,-3.3,-0.4
OG Anunoby,15.4,0.605,19.3,1.5,1.6,3.1,0.104,0.8,0.4,1.2,1.2
Ryan Arcidiacono,9.8,0.541,13.1,0.5,0.4,0.9,0.093,-2.6,0.3,-2.3,0
Trevor Ariza,11.9,0.542,15.1,0.5,1,1.6,0.091,-1.2,0.1,-1.1,0.2
D.J. Augustin,12.1,0.57,16.8,1.5,0.5,2.1,0.088,-0.6,-1.5,-2.1,0
Deni Avdija,7.6,0.515,12,0,1.2,1.2,0.046,-3.6,0.4,-3.1,-0.4
Deandre Ayton,20.3,0.653,18.2,5.3,3.1,8.4,0.191,1.1,0.1,1.2,1.7
Udoka Azubuike,10.3,0.597,12.4,0,0.1,0.1,0.119,-5.5,1.7,-3.8,0
Dwayne Bacon,9.9,0.49,19.8,-0.3,0.9,0.5,0.013,-3.7,-1.4,-5.1,-1.5
Marvin Bagley III,16.3,0.554,23.5,0.9,0.5,1.4,0.059,-0.4,-2.7,-3.1,-0.3
LaMelo Ball,17.5,0.539,26.1,1,1.9,2.8,0.093,1.1,0.7,1.8,1.4
Lonzo Ball,15.2,0.551,20.5,1.5,1.7,3.2,0.089,1.4,0.3,1.7,1.6
Mo Bamba,19.3,0.556,21.8,0.7,1.1,1.8,0.117,0.2,0,0.1,0.4
Desmond Bane,12.2,0.6,16.1,1.6,1.3,2.9,0.093,-0.6,-0.2,-0.8,0.5
Harrison Barnes,15.4,0.626,17.2,4,0.5,4.5,0.103,1.5,-1.3,0.2,1.1
RJ Barrett,13.4,0.535,23.4,0.9,3.1,4.1,0.078,-0.9,-0.3,-1.2,0.5
Will Barton,11.8,0.538,19,0.7,1.5,2.2,0.061,-1,-0.8,-1.9,0.1
Keita Bates-Diop,12,0.518,14.8,0.1,0.3,0.3,0.068,-2.3,0.4,-1.9,0
Nicolas Batum,12.9,0.617,11.8,2.7,2.3,5,0.132,0.6,1.5,2.1,1.9
Aron Baynes,10.5,0.503,16.2,0.1,0.9,1,0.049,-3.4,-1.1,-4.5,-0.6
Kent Bazemore,10.6,0.564,16.3,-0.2,2.1,1.8,0.065,-2.9,1.7,-1.2,0.2
Darius Bazley,9.7,0.491,22.1,-2.3,1.4,-0.9,-0.026,-3.1,-1.3,-4.4,-1
Bradley Beal,22.7,0.593,34.1,4.2,1.7,5.9,0.132,4.8,-1.4,3.4,2.9
Malik Beasley,14.6,0.57,24,0.9,0.4,1.3,0.053,1.6,-1.8,-0.2,0.6
Jordan Bell,8,0.328,13.6,-0.1,0.1,0,-0.008,-5.9,0.1,-5.8,-0.1
DeAndre' Bembry,11.2,0.57,14.6,0.1,1.1,1.2,0.059,-3.2,1.4,-1.9,0
Dāvis Bertāns,11.4,0.62,15.9,2.1,1,3.1,0.101,0.3,-1.1,-0.8,0.4
Patrick Beverley,12,0.58,14.6,1,1,2.1,0.119,-0.7,1.4,0.7,0.6
Saddiq Bey,12.6,0.567,18.7,1.6,1.7,3.3,0.082,0.3,-0.8,-0.5,0.7
Tyler Bey,5.9,0.372,16.9,-0.1,0,0,-0.033,-5.5,-3.9,-9.5,-0.1
Khem Birch,15.1,0.552,13.6,2.3,1.4,3.8,0.118,-1,0.1,-1,0.4
Goga Bitadze,16.3,0.523,18.1,0.7,0.8,1.5,0.129,-2,1,-1,0.1
Bismack Biyombo,11.7,0.574,11.5,0.9,1.4,2.3,0.081,-3.4,0.4,-3,-0.4
Nemanja Bjelica,12.9,0.554,18.4,0.5,0.3,0.9,0.071,-1.4,-0.8,-2.2,0
Eric Bledsoe,11.5,0.533,18.5,1.1,1.3,2.3,0.053,-1.2,-0.9,-2,0
Keljin Blevins,-0.9,0.3,14.3,-0.2,0,-0.2,-0.137,-8.3,-2.3,-10.7,-0.2
Bogdan Bogdanović,17.6,0.616,21.3,2.8,1.1,3.9,0.142,3.3,0.3,3.6,1.8
Bojan Bogdanović,14,0.588,22.8,2.7,2.5,5.2,0.113,0.2,-0.7,-0.4,0.9
Bol Bol,9.4,0.534,21.2,-0.2,0.2,0,-0.004,-3.8,-0.3,-4.1,-0.1
Marques Bolden,13.3,0.537,12.8,0,0,0,0.063,-3.8,0.8,-3,0
Jordan Bone,8.9,0.519,12.6,0.1,0.1,0.2,0.045,-3,-1.2,-4.2,-0.1
Isaac Bonga,4,0.461,10.2,-0.4,0.4,0,-0.001,-5.8,0,-5.8,-0.4
Devin Booker,19.2,0.587,32.7,2.9,2,4.9,0.104,1.7,-1.4,0.3,1.3
Chris Boucher,21.9,0.634,20.5,4,2.1,6.1,0.201,2.7,0.6,3.3,2
Brian Bowen,1,0.338,12.6,0,0,0,-0.063,-8.1,-2.9,-11,0
