Player,PER,TS%,TRB%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
,,,,,,,,,,,
Precious Achiuwa,12.7,0.503,14.9,18.5,0.4,2.1,2.5,-2,-0.6,-2.6,-0.2
Steven Adams,17.6,0.56,19.9,12,3.8,3,6.8,1,1,2,2
Bam Adebayo,21.8,0.608,17.5,25,3.6,3.5,7.2,1.7,2.1,3.8,2.7
Santi Aldama,10.2,0.452,12.6,18.4,-0.1,0.4,0.3,-4.2,-1.5,-5.7,-0.3
LaMarcus Aldridge,19.6,0.604,13.4,22.4,2.1,1,3.1,1.3,-0.6,0.7,0.7
Nickeil Alexander-Walker,10.5,0.475,7.1,24.1,-1.1,1.1,0.1,-1.8,-1.1,-2.9,-0.3
Grayson Allen,12.7,0.609,6.5,15.2,2.8,1.4,4.2,0.6,-0.2,0.4,1.1
Jarrett Allen,23,0.698,18.4,18.1,5.4,3,8.5,2.7,1.2,3.9,2.7
Jose Alvarado,16.4,0.52,6.6,18.4,1,1.1,2.1,-0.5,2.4,1.9,0.8
Justin Anderson,10.4,0.493,8.1,15.1,0.2,0.2,0.4,-1.9,-1.3,-3.2,-0.1
Kyle Anderson,14.4,0.506,13,16.2,1,2.5,3.5,-0.9,2.1,1.2,1.2
Giannis Antetokounmpo,32.1,0.633,18.7,34.9,9.2,3.7,12.9,7.6,3.5,11.2,7.4
Thanasis Antetokounmpo,12.5,0.577,11.3,15.7,0.4,0.5,0.9,-3.5,-0.1,-3.5,-0.2
Carmelo Anthony,14.8,0.579,8.6,20.4,2.2,1.4,3.6,0.4,-0.8,-0.5,0.7
Cole Anthony,13.5,0.519,8.9,25.1,-0.1,1.7,1.6,-0.6,-0.6,-1.2,0.4
OG Anunoby,14.8,0.549,8.3,20.5,1.8,1.9,3.7,0.4,0.1,0.5,1.1
Ryan Arcidiacono,6.1,0.667,5.7,8.6,0,0.1,0.1,-4.6,0,-4.6,-0.1
Trevor Ariza,7,0.449,9.5,11,-0.2,0.4,0.2,-3.3,-0.2,-3.4,-0.2
D.J. Augustin,9.7,0.61,4.2,14.3,0.7,0.1,0.8,-1.2,-2.4,-3.6,-0.4
Deni Avdija,11.6,0.536,11.9,16.3,0.6,1.8,2.4,-2.1,0.4,-1.7,0.1
Joel Ayayi,3.4,0.167,8.3,13.3,0,0,0,-4.3,-1.7,-6,0
Deandre Ayton,21.9,0.656,18.6,21.4,4.1,3.1,7.3,2.2,0.6,2.8,2.1
Udoka Azubuike,17.6,0.743,19.9,14.7,0.3,0.3,0.6,-1.8,0.4,-1.4,0
Marvin Bagley III,15.7,0.551,16,19.8,1.2,0.9,2,-0.5,-1.8,-2.3,-0.1
LaMelo Ball,19.7,0.554,11,28.2,3.4,2.5,5.8,3.3,0.1,3.4,3.3
Lonzo Ball,14.5,0.575,8.8,17.4,0.8,1.4,2.2,0.9,1.6,2.5,1.4
Mo Bamba,16.5,0.582,16.5,17.2,1.8,2.7,4.5,-0.2,0.9,0.7,1.2
Desmond Bane,17.6,0.592,7.7,23.1,4.5,2.7,7.2,2.5,0.3,2.7,2.7
Dalano Banton,10,0.463,9.7,16.9,-0.4,0.8,0.4,-3.5,0.4,-3.1,-0.2
Cat Barber,-11.2,0,12.6,22.7,-0.1,0,-0.1,-15.8,-7.6,-23.5,-0.1
Harrison Barnes,15.7,0.623,9.1,18.8,5,1,6,1.5,-1.3,0.2,1.4
Scottie Barnes,16.3,0.552,11.5,19,3.7,2.9,6.6,0.5,0.4,0.9,1.9
RJ Barrett,13.7,0.511,9.1,27.6,0.1,2.2,2.3,-0.3,-1.3,-1.6,0.2
Will Barton,13.4,0.548,8.3,20.8,1.2,1.9,3.2,0.4,-0.9,-0.5,0.9
Paris Bass,13.9,0.436,30.6,54.6,0,0,0,-11.2,-1.2,-12.4,0
Charles Bassey,21.5,0.66,20.6,16.1,0.4,0.3,0.8,-0.4,2.1,1.7,0.2
Keita Bates-Diop,12.4,0.578,12.7,14.8,0.6,1,1.6,-2.1,-0.5,-2.6,-0.1
Nicolas Batum,13.5,0.608,9.2,13.3,1.6,2.1,3.7,0.5,1.8,2.3,1.6
Kent Bazemore,6,0.451,6.8,13.2,-0.4,0.5,0.1,-5.1,0.8,-4.3,-0.3
Darius Bazley,12.6,0.515,11.6,18.3,-0.5,2.2,1.8,-2.1,0.3,-1.8,0.1
Bradley Beal,17.5,0.539,7.3,30.8,0.6,0.7,1.4,2,-1.2,0.8,1
Malik Beasley,11.9,0.544,6.2,19.4,1.7,1.2,2.9,0.7,-1.5,-0.7,0.7
Jordan Bell,29.9,,28.1,0,0,0,0,-8.1,10.8,2.7,0
DeAndre' Bembry,11.9,0.601,8.6,11.2,1.1,1.1,2.2,-2.2,1.5,-0.7,0.3
Dāvis Bertāns,9.4,0.531,8,17.3,0.2,0.7,0.9,-1.7,-0.9,-2.6,-0.1
Patrick Beverley,14.8,0.539,8.7,16.1,2.3,1.7,4.1,0.6,2.1,2.7,1.7
Saddiq Bey,14,0.529,8.8,21.3,2.4,1.6,4,0.9,-1.2,-0.3,1.2
Khem Birch,13.2,0.534,13.1,11.2,1.5,1.1,2.6,-1.7,0.4,-1.3,0.2
Goga Bitadze,18,0.595,13.5,19.9,1.3,0.6,1.9,-0.2,-0.6,-0.8,0.2
Bismack Biyombo,17.3,0.596,17.7,17.1,0.9,0.9,1.8,-1.7,0.4,-1.3,0.1
Nemanja Bjelica,14.2,0.573,14.1,17.8,1,2.1,3,-0.9,2.3,1.4,1
Eric Bledsoe,12.5,0.514,7.1,20.5,-0.5,1.8,1.3,-2.1,1.3,-0.8,0.4
Keljin Blevins,4.8,0.41,7.1,16.5,-0.6,0.1,-0.5,-5.6,-2.9,-8.5,-0.6
Bogdan Bogdanović,15.4,0.562,7.4,21.6,2.5,1.2,3.7,1.5,-0.2,1.3,1.5
Bojan Bogdanović,15.7,0.599,7.6,23.7,3.6,1.6,5.2,1.6,-1.6,0,1.1
Bol Bol,13.5,0.565,13.8,18,0,0.1,0.1,-0.5,-0.4,-1,0
Leandro Bolmaro,5.4,0.419,9.6,12.6,-0.1,0.2,0,-5.1,-0.7,-5.8,-0.2
Isaac Bonga,8.7,0.363,5.5,11.5,-0.1,0.1,0.1,-5.4,5,-0.4,0
Devin Booker,21.3,0.576,7.8,32,4.3,3.3,7.6,3.9,0.2,4.1,3.6
Brandon Boston Jr.,11.2,0.481,7.7,22.4,-0.5,0.9,0.4,-3,-0.4,-3.3,-0.3
Chris Boucher,17.9,0.57,15.8,17.8,3.5,2.4,6,0.5,-0.4,0,0.9
James Bouknight,10.1,0.459,9.1,23.7,-0.1,0.1,0,-3.4,-3.7,-7.1,-0.4
Avery Bradley,7.8,0.55,5.2,12.1,0.3,0.9,1.2,-3.5,-0.1,-3.6,-0.6
Tony Bradley,14.9,0.6,19.1,13.6,0.6,0.7,1.3,-2,0.2,-1.8,0
Ignas Brazdeikis,10.2,0.52,7.1,17.7,0.2,0.3,0.5,-2.7,-1.6,-4.3,-0.3
Mikal Bridges,14.4,0.627,6.5,15,5.2,3.7,8.9,0.5,1.1,1.6,2.6
Miles Bridges,17.9,0.593,10.4,22.6,5,2.3,7.2,1.8,-0.3,1.5,2.5
Oshae Brissett,12.9,0.53,12.8,17.3,1.4,0.9,2.2,-0.5,-1.7,-2.2,-0.1
Malcolm Brogdon,18,0.557,8.6,24.6,2.2,0.4,2.7,2.8,-0.5,2.3,1.3
Armoni Brooks,8.4,0.483,6.7,16.4,-0.1,0.4,0.2,-2.6,-1.3,-3.9,-0.4
Dillon Brooks,15.5,0.515,6,28.8,0.7,0.9,1.6,-1,-0.8,-1.8,0
Bruce Brown,15,0.575,10.6,15,2.8,2,4.8,-0.4,1.1,0.7,1.2
