Player,PER,TS%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
,,,,,,,,,,
Precious Achiuwa,15.2,0.554,19.4,0.8,1.4,2.2,-1.4,-0.8,-2.3,-0.1
Steven Adams,17.5,0.564,14.6,1.3,2.1,3.4,-0.3,0.9,0.6,0.7
Bam Adebayo,20.1,0.592,25.2,3.6,3.8,7.4,0.8,0.8,1.5,2.3
Ochai Agbaji,9.5,0.561,15.8,0.9,0.4,1.3,-1.7,-1.4,-3,-0.3
Santi Aldama,13.9,0.591,16,2.1,2.4,4.6,-0.3,0.8,0.5,1.1
Nickeil Alexander-Walker,11.6,0.565,17.9,0.3,0.8,1.1,-1.4,0.4,-0.9,0.2
Grayson Allen,12.3,0.612,14.6,2.8,2.2,5.1,-0.6,0.7,0.1,1
Jarrett Allen,19.9,0.67,16.4,5.5,4,9.5,1.3,1,2.4,2.4
Jose Alvarado,11.8,0.525,19.8,0.1,1.7,1.8,-2,0.7,-1.2,0.3
Kyle Anderson,14.8,0.583,14.4,2.5,2.6,5.1,0.2,2.3,2.5,2.2
Giannis Antetokounmpo,29,0.605,38.8,4.9,3.7,8.6,5.8,2.7,8.5,5.4
Thanasis Antetokounmpo,6.7,0.458,13.8,-0.1,0.2,0.1,-6.5,-1.1,-7.6,-0.3
Cole Anthony,16,0.57,21.5,2.1,1.7,3.7,0.7,0.5,1.3,1.3
OG Anunoby,14.6,0.586,19.5,1.8,2.9,4.7,-0.3,0.7,0.4,1.5
Ryan Arcidiacono,2.7,0.351,11.1,-0.2,0.1,-0.2,-7.3,-1.5,-8.8,-0.3
Deni Avdija,11.2,0.535,16.7,0,2.3,2.3,-2.8,0.5,-2.3,-0.1
Deandre Ayton,19.9,0.617,22.9,3.3,3,6.2,0.9,0,0.9,1.5
Udoka Azubuike,16.1,0.774,11.5,0.6,0.4,1,-1.2,0.5,-0.6,0.1
Marvin Bagley III,17.2,0.587,20.4,1.3,0.7,2,0.3,-1.2,-0.9,0.3
Patrick Baldwin Jr.,11.3,0.546,22.8,-0.1,0.3,0.1,-0.7,-1.4,-2.1,0
LaMelo Ball,17.9,0.541,30,0.6,1.2,1.8,3.2,-0.8,2.4,1.4
Mo Bamba,15.7,0.602,16.6,1.1,1.1,2.2,-0.2,0.7,0.5,0.5
Paolo Banchero,14.9,0.529,27.5,-0.3,2.6,2.4,-0.7,-0.7,-1.5,0.3
Desmond Bane,19.1,0.606,26.1,3.5,2.3,5.8,3.3,0.1,3.5,2.5
Dalano Banton,14.9,0.505,24.2,0,0.4,0.4,-1.1,0.6,-0.5,0.1
Dominick Barlow,12.4,0.567,11.3,0.5,0.2,0.7,-3.7,-0.8,-4.6,-0.3
Harrison Barnes,14.1,0.632,17.1,5.1,1.4,6.5,0.5,-1.5,-1,0.7
Scottie Barnes,15.5,0.524,20.3,2.3,2.7,5,0.5,-0.1,0.4,1.6
RJ Barrett,12.9,0.531,26.2,0.5,1.8,2.2,-1.2,-1.9,-3.1,-0.7
Will Barton,10,0.493,18.9,-0.4,0.8,0.4,-2,-0.6,-2.6,-0.2
Charles Bassey,18.8,0.658,15.6,0.7,0.6,1.3,-0.7,1.3,0.6,0.3
